Subsidy Dt,Año,Mes,CUOTA,NET,NEW_SEGMENT,TIPO_SUBSIDIO,MARCA,MODELO,GAMA,Diferencia_a_pagar,Diferencia_pagada,precio_venta,unidades,Tipo_Bodega,bimestre,marcapref,gruposeleccionado
02/05/2020,2020,Feb,275,EQUAL,PYME,RETENTION,MARCA 4,MARCA 4 MODELO F,Utra,12399,12399,12399,1,TIENDAS,2,1,3
01/09/2020,2020,Ene,275,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,8220,9919,13599,1,TIENDAS,2,1,3
02/09/2019,2019,Feb,275,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,9899,9899,12699,1,TIENDAS,1,1,1
1/24/2019,2019,Ene,275,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO O,Utra,9899,9899,12699,1,TIENDAS,1,1,1
1/23/2020,2020,Ene,300,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,9799,9799,13599,1,TIENDAS,2,1,3
1/23/2020,2020,Ene,300,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,9799,9799,13599,1,TIENDAS,2,1,3
02/07/2020,2020,Feb,300,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,9799,9799,13599,1,TIENDAS,2,1,3
1/24/2020,2020,Ene,149,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO F,Utra,9637,9649,12399,1,TIENDAS,2,1,3
01/08/2020,2020,Ene,275,EQUAL,PYME,ACQUISITION,MARCA 4,MARCA 4 MODELO G,Utra,7920,9619,13599,1,TIENDAS,2,1,3
02/02/2020,2020,Feb,300,UPGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,9794,9499,13599,1,TIENDAS,2,1,3
2/18/2020,2020,Feb,300,EQUAL,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,9794,9499,13599,1,TIENDAS,2,1,3
2/13/2020,2020,Feb,300,DOWNGRADE,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,9799,9499,13599,1,TIENDAS,2,1,3
01/03/2020,2020,Ene,350,EQUAL,PYME,RETENTION,MARCA 4,MARCA 4 MODELO G,Utra,9324,9324,13599,1,TIENDAS,2,1,3
